Station/Location;Datum;"Globalstrahlung; Tagesmittel";"Gesamtschneehöhe; Morgenmessung von 6 UTC";"Gesamtbewölkung; Tagesmittel";"Luftdruck auf Stationshöhe (QFE); Tagesmittel";"Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag";"Sonnenscheindauer; Tagessumme";"Lufttemperatur 2 m über Boden; Tagesmittel";"Lufttemperatur 2 m über Boden; Tagesminimum";"Lufttemperatur 2 m über Boden; Tagesmaximum";"Relative Luftfeuchtigkeit 2 m über Boden; Tagesmittel"
St. Gallen;2011-01-14;30.0;0.0;88.0;929.9;1.9;74.0;7.6;4.7;8.9;80.7
St. Gallen;2011-01-17;80.0;0.0;13.0;935.0;0.0;405.0;6.8;4.0;9.3;49.8
St. Gallen;2011-01-29;32.0;6.0;100.0;922.7;0.0;0.0;-4.2;-5.6;-3.2;94.1
St. Gallen;2011-02-01;39.0;6.0;92.0;932.4;0.0;0.0;-5.7;-6.9;-4.5;90.4
St. Gallen;2011-02-12;115.0;0.0;21.0;925.6;0.0;468.0;7.6;5.5;10.5;54.3
St. Gallen;2011-02-16;24.0;0.0;75.0;908.9;0.0;0.0;1.5;-0.4;3.9;94.3
St. Gallen;2011-02-18;30.0;0.0;83.0;920.7;0.0;0.0;1.6;0.3;2.5;89.1
St. Gallen;2011-02-23;149.0;13.0;33.0;931.0;0.0;525.0;-5.9;-9.2;-2.9;81.7
St. Gallen;2011-02-24;96.0;8.0;88.0;933.2;6.9;182.0;-1.1;-5.0;1.8;79.3
St. Gallen;2011-03-07;180.0;2.0;33.0;934.5;0.0;558.0;-0.1;-3.8;4.8;63.6
St. Gallen;2011-03-14;169.0;0.0;58.0;924.3;0.0;496.0;9.6;6.4;12.6;56.9
St. Gallen;2011-03-27;93.0;0.0;96.0;922.6;0.2;15.0;7.5;6.1;10.0;83.3
St. Gallen;2011-03-28;119.0;0.0;92.0;923.2;2.6;186.0;7.5;4.9;10.9;82.2
St. Gallen;2011-04-06;192.0;0.0;71.0;938.9;0.0;381.0;12.5;9.0;16.9;55.9
St. Gallen;2011-04-08;228.0;0.0;54.0;933.5;0.0;538.0;13.5;10.4;17.2;63.8
St. Gallen;2011-04-16;280.0;0.0;8.0;929.0;0.0;743.0;5.8;0.6;11.5;65.9
St. Gallen;2011-04-24;150.0;0.0;92.0;926.6;0.3;139.0;14.0;11.7;16.3;63.2
St. Gallen;2011-04-28;186.0;0.0;71.0;921.6;0.0;227.0;9.2;4.3;15.8;79.2
St. Gallen;2011-04-30;190.0;0.0;75.0;916.4;0.0;377.0;9.9;6.7;15.1;78.7
St. Gallen;2011-05-04;281.0;0.0;50.0;927.9;0.0;558.0;6.3;2.2;10.9;68.4
St. Gallen;2011-05-09;325.0;0.0;42.0;933.0;0.0;834.0;14.6;7.6;21.1;51.1
St. Gallen;2011-05-18;310.0;0.0;13.0;929.0;0.0;717.0;14.8;9.3;19.6;59.7
St. Gallen;2011-05-21;336.0;0.0;17.0;931.2;0.0;853.0;17.0;12.2;21.5;59.8
St. Gallen;2011-05-24;316.0;0.0;29.0;934.6;0.0;765.0;18.4;13.3;23.2;59.8
St. Gallen;2011-06-04;211.0;0.0;92.0;926.6;0.9;288.0;16.8;13.0;20.7;80.0
St. Gallen;2011-06-10;269.0;0.0;75.0;926.8;0.0;379.0;12.8;8.6;17.5;73.5
St. Gallen;2011-06-13;111.0;0.0;96.0;929.4;3.8;19.0;13.6;11.5;15.7;84.3
St. Gallen;2011-06-16;271.0;0.0;67.0;928.1;14.0;450.0;18.1;12.7;23.6;69.9
